area,x,y
Благоевград,-237.0,-152.0
Бургас,202.0,-21.0
Варна,243.0,70.0
Велико Търново,14.0,69.0
Видин,-319.0,160.0
Враца,-191.0,101.0
Габрово,-27.0,29.0
Добрич,277.0,140.0
Кърджали,-2.0,-193.0
Кюстендил,-300.0,-79.0
Ловеч,-109.0,36.0
Монтана,-258.0,120.0
Пазарджик,-154.0,-91.0
Перник,-296.0,-21.0
Плевен,-94.0,113.0
Пловдив,-76.0,-68.0
Разград,126.0,143.0
Русе,54.0,146.0
Силистра,177.0,188.0
Сливен,84.0,-13.0
Смолян,-99.0,-161.0
София,-189.0,-0.0
София-град,-241.0,-10.0
Стара Загора,1.0,-44.0
Търговище,103.0,70.0
Хасково,40.0,-134.0
Шумен,176.0,90.0
Ямбол,124.0,-75.0